# Dataset: Business Survivability Scores by Neighborhood - Denver (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in Denver
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/denver-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/denver-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
denver,bear-valley,german-restaurant,German Restaurant,78.5,81.8,75.9,82.5,80.7,76.9,75.1,1,Average,49,Average,2,2026,/resources/guides/denver/survivability/german-restaurant,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,18.2,24.1,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,juice-smoothie-bar,"Juices, Smoothies & Acai",72.5,78.2,68.2,79.0,77.2,69.2,67.5,1,Average,84,Below-average,2,2026,/resources/guides/denver/survivability/juice-smoothie-bar,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,21.8,31.8,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,liquor-store,Liquor / Alcohol Store,73.7,76.5,71.5,76.9,75.3,73.0,70.6,1,Average,79,Below-average,2,2026,/resources/guides/denver/survivability/liquor-store,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,23.5,28.5,0.9499,0.0642,1,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,greek-restaurant,Greek Restaurant,78.2,82.7,75.0,83.5,81.8,76.1,74.5,1,Average,62,Average,2,2026,/resources/guides/denver/survivability/greek-restaurant,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,17.3,25.0,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,vietnamese-restaurant,Vietnamese Restaurant,78.5,82.2,75.5,83.0,81.1,76.5,74.6,1,Average,57,Average,2,2026,/resources/guides/denver/survivability/vietnamese-restaurant,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,17.8,24.5,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,japanese-sushi-restaurant,Japanese / Sushi Restaurant,78.6,82.2,75.5,82.7,81.2,76.2,74.5,1,Average,39,Good,2,2026,/resources/guides/denver/survivability/japanese-sushi-restaurant,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,17.8,24.5,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,physical-therapy-clinic,Physical Therapy,75.8,79.0,70.5,79.7,77.4,71.8,69.6,1,Average,75,Below-average,2,2026,/resources/guides/denver/survivability/physical-therapy-clinic,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,21.0,29.5,0.9499,0.0642,2,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,modern-european-restaurant,Modern European Restaurant,79.6,83.1,75.5,83.7,82.2,76.4,74.7,1,Average,16,Great,2,2026,/resources/guides/denver/survivability/modern-european-restaurant,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,16.9,24.5,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,dentist-office,Dentist,80.1,84.9,74.3,85.5,83.4,75.9,73.5,1,Average,10,Great,2,2026,/resources/guides/denver/survivability/dentist-office,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,15.1,25.7,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
denver,bear-valley,polish-restaurant,Polish Restaurant,77.7,82.2,74.5,82.8,81.3,75.3,74.1,1,Average,69,Below-average,2,2026,/resources/guides/denver/survivability/polish-restaurant,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/denver/neighborhoods/bear-valley/business-survivability,17.8,25.5,0.9499,0.0642,0,,83966,0.5509,Working,37.0,43.3,0.0757,41.0,0.4203,2.13,28.9,0.1804,StreetSpring Survivability Dataset 2026
