# Dataset: Business Survivability Scores by Neighborhood - San Diego (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Description: Predicted probability (0-100%) that a business type survives 2+ years at neighborhood level in San Diego
# Scores are based on 100+ location factors and 570,000+ real business outcomes across 24 US metros
# Citation: StreetSpring Survivability Dataset 2026, https://streetspring.com/resources/data/san-diego-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This file carries one row per business type and place. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 105 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (for example philadelphia).; neighborhood = Neighborhood slug inside the metro; the row's place.; business_subtype = Business type slug (for example italian-restaurant); the row's business. The file's own count is in the README and on its page.; business_type_lookup = Display name of the business type (for example Italian Restaurant).; avg_survivability_score = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this neighborhood. Use this column to answer 'where should I open X'.; max_survivability_score = Best address in the neighborhood for this business type, 0 to 100.; the rest are in the README
# Recipe 1, Where should I open a given business in this metro? Filter business_subtype to the type (for example italian-restaurant), sort by avg_survivability_score descending, read the top rows: those neighborhoods are where that business is projected to last two or more years most often. neighborhood_rank_for_business_subtype gives the same order as a number.
# Recipe 2, What should I open in a given neighborhood? Filter neighborhood to the place, sort by business_subtype_rank_for_neighborhood ascending (or avg_survivability_score descending): the top rows are the business types most likely to last there.
# Recipe 3, How do two neighborhoods compare for the same business? Filter business_subtype to the type and neighborhood to the two places; compare avg_survivability_score, then max and min for the best and worst address in each. A gap of 5 points or more is material; the confidence bounds say how firm it is.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/san-diego-survivability-scores-2026
city,neighborhood,business_subtype,business_type_lookup,avg_survivability_score,max_survivability_score,min_survivability_score,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,neighborhood_rank_for_business_subtype,tier_of_neighborhood_for_business_subtype,business_subtype_rank_for_neighborhood,tier_of_business_subtype_for_neighborhood,total_ranked_neighborhoods_for_business_subtype,year,source_url_neighborhood_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,employment_rate,vacancy_rate,competitor_count,income_rank,income_score,pct_high_income,income_tier,income_metro_percentile,income_national_percentile,poverty_rate,median_age,pct_bachelor_plus,avg_household_size,median_commute_minutes,pct_housing_post_2000,data_source
san-diego,adams-north,german-restaurant,German Restaurant,78.3,80.4,75.9,81.2,79.3,76.9,75.1,17,Good,32,Good,48,2026,/resources/guides/san-diego/survivability/german-restaurant,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,19.6,24.1,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,juice-smoothie-bar,"Juices, Smoothies & Acai",75.0,79.0,70.0,80.0,78.1,71.0,69.3,37,Below-average,78,Below-average,48,2026,/resources/guides/san-diego/survivability/juice-smoothie-bar,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,21.0,30.0,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,liquor-store,Liquor / Alcohol Store,74.8,77.3,72.0,77.8,76.2,73.5,71.1,14,Good,79,Below-average,48,2026,/resources/guides/san-diego/survivability/liquor-store,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,22.7,28.0,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,greek-restaurant,Greek Restaurant,77.7,80.0,74.5,80.8,79.1,75.6,74.1,18,Good,62,Average,48,2026,/resources/guides/san-diego/survivability/greek-restaurant,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,20.0,25.5,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,vietnamese-restaurant,Vietnamese Restaurant,78.3,80.4,75.9,81.2,79.3,76.9,75.0,16,Good,37,Good,48,2026,/resources/guides/san-diego/survivability/vietnamese-restaurant,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,19.6,24.1,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,japanese-sushi-restaurant,Japanese / Sushi Restaurant,78.4,80.4,75.9,80.9,79.4,76.7,75.0,18,Good,25,Good,48,2026,/resources/guides/san-diego/survivability/japanese-sushi-restaurant,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,19.6,24.1,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,physical-therapy-clinic,Physical Therapy,79.0,81.1,76.0,81.8,79.5,77.3,75.2,2,Great,12,Great,48,2026,/resources/guides/san-diego/survivability/physical-therapy-clinic,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,18.9,24.0,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,dentist-office,Dentist,78.4,82.3,75.1,82.9,80.8,76.8,74.3,32,Below-average,23,Good,48,2026,/resources/guides/san-diego/survivability/dentist-office,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,17.7,24.9,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,polish-restaurant,Polish Restaurant,77.4,80.0,74.1,80.6,79.0,74.8,73.6,20,Average,68,Below-average,48,2026,/resources/guides/san-diego/survivability/polish-restaurant,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,20.0,25.9,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
san-diego,adams-north,nicaraguan-restaurant,Nicaraguan Restaurant,78.3,80.8,75.0,81.8,79.9,75.9,74.5,23,Average,33,Good,48,2026,/resources/guides/san-diego/survivability/nicaraguan-restaurant,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/san-diego/neighborhoods/adams-north/business-survivability,19.2,25.0,0.9780,0.0447,0,,115914,0.6536,Middle,61.6,64.3,0.1198,38.5,0.6152,1.91,24.8,0.1217,StreetSpring Survivability Dataset 2026
